rank,address,balance_raw,balance_formatted,percentage_of_supply
17939,0x8ef0f23418c6b86c84b9a5e8479ae98861581c66,1000000000001275345,1.000000000001275424,0.000000
17940,0xcd1d936de8069fd98d6f5f825d62ec09205faf11,1000000000001235881,1.000000000001235900,0.000000
17941,0x5028a7747ba23d15e1b3b2b2a9b53333fcea7961,1000000000001190870,1.000000000001190825,0.000000
17942,0x1518d491afb885fd54154b48ce04aebea9799509,1000000000001181699,1.000000000001181721,0.000000
17943,0x727d322b08b004f31e255bac7969e899103b81d4,1000000000001177805,1.000000000001177725,0.000000
17944,0x84dc91307afab00ae8f2a913ece44b487486e60b,1000000000001161303,1.000000000001161293,0.000000
17945,0x287fbd5255cc6b8c6f936d8f61ede892dd39bcdb,1000000000001161170,1.000000000001161071,0.000000
17946,0x0d80ad2457e94666cb015004d9659edf602db9b8,1000000000001157315,1.000000000001157296,0.000000
17947,0x2d823f87281591a116d98c60afb0313b4ca52220,1000000000001065446,1.000000000001065370,0.000000
17948,0x1ed00c2214f37f2fc27a58989eaba8f2c60d3333,1000000000001052787,1.000000000001052713,0.000000
17949,0xf72be80723f313d9761628010e714bf01b121cac,1000000000001034089,1.000000000001034062,0.000000
17950,0x92a1704aa3098af1cea9b7f8880947600ad6908b,1000000000001014588,1.000000000001014522,0.000000
17951,0xa84be61e41c75fe0c65f84f2388a0916143e0f53,1000000000000999658,1.000000000000999645,0.000000
17952,0xa66e7bb0587e76651399802d1e631da1f448d8a6,1000000000000990699,1.000000000000990763,0.000000
17953,0xb8947a58a285c6f41eb63f57ce27737499659e62,1000000000000842503,1.000000000000842437,0.000000
17954,0xbf44930753949df4090f3de800b3d59db525464b,1000000000000722882,1.000000000000722977,0.000000
17955,0xf86d124a4210b651ce996e16c32ce4b43b16eb3c,1000000000000720035,1.000000000000720091,0.000000
17956,0x00d85754b7d76e5731b7904d0b6dd5640cd58506,1000000000000691002,1.000000000000691003,0.000000
17957,0xb7a542fa42cc61c462ca3085780c8d843407b7a4,1000000000000638301,1.000000000000638378,0.000000
17958,0x0870845aaedb48817435198239982e293969de51,1000000000000578067,1.000000000000577982,0.000000
17959,0xdab94abd24b71d4ac418dbf9d6004651f846337d,1000000000000556368,1.000000000000556444,0.000000
17960,0xcb89421588b817f76fd16964501e6e2515450fcb,1000000000000468793,1.000000000000468736,0.000000
17961,0x6a49be55db3432f8a7597422be83a305b65bd227,1000000000000463860,1.000000000000463851,0.000000
